Primer,Condition,Location,Ct,Avg Ct,HPRT,Avg HPRT,dCt,ddCt,Fold Change,Ct Sd,SEM ddCT,Fold SEM
AXIN2,Control,Static,29.3154,27.1352,37.3539,34.9485,-7.8132,-1.5943,3.0195,1.9434,1.1220,1.9204
THBS1,Control,Centre,15.8658,17.7884,NA,33.5355,-15.7471,3.1092,0.1159,2.6852,1.5503,0.1472
THBS1,Control,Centre,16.6431,17.7884,36.6981,33.5355,-15.7471,3.1092,0.1159,2.6852,1.5503,0.1472
THBS1,Control,Centre,20.8563,17.7884,30.3729,33.5355,-15.7471,3.1092,0.1159,2.6852,1.5503,0.1472
THBS1,Control,Periphery,14.9716,16.0374,34.4077,34.8938,-18.8564,0.0000,1.0000,1.2517,0.7227,0.2562
THBS1,Control,Periphery,15.7248,16.0374,33.3257,34.8938,-18.8564,0.0000,1.0000,1.2517,0.7227,0.2562
THBS1,Control,Periphery,17.4158,16.0374,36.9479,34.8938,-18.8564,0.0000,1.0000,1.2517,0.7227,0.2562
THBS1,Control,Static,NA,15.0780,32.7767,34.9485,-19.8705,-1.0141,2.0197,2.1532,1.5225,2.4661
THBS1,Control,Static,13.5554,15.0780,34.7148,34.9485,-19.8705,-1.0141,2.0197,2.1532,1.5225,2.4661
THBS1,Control,Static,16.6005,15.0780,37.3539,34.9485,-19.8705,-1.0141,2.0197,2.1532,1.5225,2.4661
ANGPT2,Drug,Centre,26.8322,28.5685,34.3277,35.5642,-6.9957,-3.5902,12.0439,1.6871,0.9741,5.7021
ANGPT2,Drug,Centre,28.6717,28.5685,35.2797,35.5642,-6.9957,-3.5902,12.0439,1.6871,0.9741,5.7021
ANGPT2,Drug,Centre,30.2017,28.5685,37.0853,35.5642,-6.9957,-3.5902,12.0439,1.6871,0.9741,5.7021
ANGPT2,Drug,Periphery,30.7657,30.9237,NA,34.3292,-3.4055,0.0000,1.0000,1.4384,0.8305,0.3406
ANGPT2,Drug,Periphery,29.5708,30.9237,34.4952,34.3292,-3.4055,0.0000,1.0000,1.4384,0.8305,0.3406
ANGPT2,Drug,Periphery,32.4346,30.9237,34.1631,34.3292,-3.4055,0.0000,1.0000,1.4384,0.8305,0.3406
ANGPT2,Drug,Static,24.3594,26.7980,NA,37.4342,-10.6362,-7.2307,150.1965,2.4793,1.4314,160.3926
ANGPT2,Drug,Static,26.7186,26.7980,36.4046,37.4342,-10.6362,-7.2307,150.1965,2.4793,1.4314,160.3926
ANGPT2,Drug,Static,29.3160,26.7980,38.4637,37.4342,-10.6362,-7.2307,150.1965,2.4793,1.4314,160.3926
AXIN2,Drug,Centre,26.1513,26.9327,34.3277,35.5642,-8.6316,-2.9699,7.8348,0.9339,0.5392,1.1072
AXIN2,Drug,Centre,26.6798,26.9327,35.2797,35.5642,-8.6316,-2.9699,7.8348,0.9339,0.5392,1.1072
AXIN2,Drug,Centre,27.9670,26.9327,37.0853,35.5642,-8.6316,-2.9699,7.8348,0.9339,0.5392,1.1072
AXIN2,Drug,Periphery,26.5360,28.6675,NA,34.3292,-5.6617,0.0000,1.0000,2.0762,1.1987,0.7310
AXIN2,Drug,Periphery,28.7830,28.6675,34.4952,34.3292,-5.6617,0.0000,1.0000,2.0762,1.1987,0.7310
AXIN2,Drug,Periphery,30.6835,28.6675,34.1631,34.3292,-5.6617,0.0000,1.0000,2.0762,1.1987,0.7310
AXIN2,Drug,Static,25.0724,26.6969,NA,37.4342,-10.7373,-5.0756,33.7224,1.5044,0.8686,12.5970
AXIN2,Drug,Static,26.9760,26.6969,36.4046,37.4342,-10.7373,-5.0756,33.7224,1.5044,0.8686,12.5970
AXIN2,Drug,Static,28.0422,26.6969,38.4637,37.4342,-10.7373,-5.0756,33.7224,1.5044,0.8686,12.5970
THBS1,Drug,Centre,13.9023,14.6635,34.3277,35.5642,-20.9007,-2.2451,4.7407,0.8886,0.5130,0.6058
THBS1,Drug,Centre,14.4483,14.6635,35.2797,35.5642,-20.9007,-2.2451,4.7407,0.8886,0.5130,0.6058
THBS1,Drug,Centre,15.6399,14.6635,37.0853,35.5642,-20.9007,-2.2451,4.7407,0.8886,0.5130,0.6058
THBS1,Drug,Periphery,14.5008,15.6735,NA,34.3292,-18.6556,0.0000,1.0000,1.5176,0.8762,0.3803
THBS1,Drug,Periphery,15.1323,15.6735,34.4952,34.3292,-18.6556,0.0000,1.0000,1.5176,0.8762,0.3803
THBS1,Drug,Periphery,17.3876,15.6735,34.1631,34.3292,-18.6556,0.0000,1.0000,1.5176,0.8762,0.3803
THBS1,Drug,Static,12.9156,13.5284,NA,37.4342,-23.9057,-5.2501,38.0572,0.7590,0.4382,3.5380
THBS1,Drug,Static,13.2923,13.5284,36.4046,37.4342,-23.9057,-5.2501,38.0572,0.7590,0.4382,3.5380
THBS1,Drug,Static,14.3774,13.5284,38.4637,37.4342,-23.9057,-5.2501,38.0572,0.7590,0.4382,3.5380
