Well	Sample Name	Detector	Task	Ct	Avg Ct	Ct SD	Delta Ct	Qty	Avg Qty	Qty SD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rn values	-0.25704408	-0.24206291	-0.2290617	-0.22758314	-0.22549208	-0.22504552	-0.22463574	-0.22328454	-0.22443923	-0.22334926	-0.22355206	-0.2234639	-0.22287628	-0.22310388	-0.22369812	-0.22285318	-0.2233245	-0.22343732	-0.22290646	-0.22270283	-0.2234852	-0.2229328	-0.22372577	-0.22333935	-0.22422785	-0.22427054	-0.22512878	-0.22402722	-0.22438516	-0.2250207	-0.22415952	-0.22431141	-0.22330698	-0.2236541	-0.22385117	-0.22210503	-0.22245875	-0.22203095	-0.22155996	-0.21771672
Delta Rn values	-0.031896275	-0.01697954	-0.00404275	-0.002628627	-6.02E-04	-2.20E-04	1.25E-04	0.001412254	1.93E-04	0.001218679	9.51E-04	9.75E-04	0.001498369	0.00120634	5.48E-04	0.001328178	7.92E-04	6.15E-04	0.001081619	0.001220814	3.74E-04	8.62E-04	4.59E-06	3.27E-04	-6.26E-04	-7.33E-04	-0.001656145	-6.19E-04	-0.001041376	-0.001741355	-9.45E-04	-0.001160918	-2.21E-04	-6.32E-04	-8.94E-04	7.88E-04	3.70E-04	7.33E-04	0.001139532	0.004918336
DDCT Values	4		H2O control	AXIN	Target	40									FALSE																									
5	H2O control	AXIN	Target	40	35.90296																																			
Rn values	-0.19829491	-0.18701558	-0.17747097	-0.17686202	-0.1768711	-0.17799693	-0.17591205	-0.17749348	-0.17643854	-0.17655016	-0.17729704	-0.17672583	-0.17668751	-0.17633632	-0.17701039	-0.17654565	-0.17680892	-0.17756148	-0.17661363	-0.17558399	-0.1762315	-0.17664671	-0.17732002	-0.17598744	-0.17604937	-0.1757989	-0.17440951	-0.17529438	-0.17585036	-0.17419067	-0.17467219	-0.17424539	-0.17403929	-0.17492017	-0.1749916	-0.1750965	-0.17498803	-0.17437989	-0.17513509	-0.17406629
Delta Rn values	-0.02062675	-0.009429459	3.31E-05	5.60E-04	4.69E-04	-7.39E-04	0.001263872	-4.00E-04	5.73E-04	3.80E-04	-4.49E-04	3.99E-05	-3.82E-06	2.65E-04	-4.91E-04	-1.08E-04	-4.53E-04	-0.001287981	-4.22E-04	5.25E-04	-2.04E-04	-7.01E-04	-0.001456718	-2.06E-04	-3.50E-04	-1.82E-04	0.001125636	1.59E-04	-4.79E-04	0.001098357	5.35E-04	8.80E-04	0.001003621	4.07E-05	-1.13E-04	-3.00E-04	-2.73E-04	2.53E-04	-5.84E-04	4.02E-04
DDCT Values	5		H2O control	AXIN	Target	40									FALSE																									
6	H2O control	THSB1	Target	29.896479	28.69675	7.423281																																		
Rn values	0.00261699	0.009607699	0.008479914	8.35E-04	-0.007572034	-0.016638855	-0.023203714	-0.029485865	-0.03369602	-0.036470458	-0.03860914	-0.041528586	-0.043609682	-0.04523056	-0.047717955	-0.048982136	-0.051764876	-0.05138154	-0.053013887	-0.0540438	-0.053528525	-0.05474105	-0.054111175	-0.053910986	-0.05645437	-0.05580808	-0.05360849	-0.04995529	-0.04184583	-0.030566411	-0.005346529	0.04402967	0.13370028	0.28406593	0.5079106	0.76947075	1.0010848	1.1425734	1.2093092	1.2363497
Delta Rn values	0.012528516	0.02160955	0.022572089	0.017017664	0.01070079	0.003724295	-7.50E-04	-0.004942067	-0.007061896	-0.007746012	-0.007794369	-0.008623491	-0.008614263	-0.008144816	-0.008541887	-0.007715744	-0.008408159	-0.005934498	-0.005476521	-0.00441611	-0.001810511	-9.33E-04	0.001787488	0.004078002	0.00362494	0.006361558	0.010651472	0.016394995	0.02659478	0.039964523	0.06727473	0.11874125	0.21050219	0.36295816	0.5888932	0.85254365	1.086248	1.2298269	1.2986531	1.3277838
Study Values	28.69674873	THSB1	H2O control																																					
Study Stat Values	5	-2.082052231	 	7.751827683	3.676123543																																			
Study RQ Values	H2O control	1	0.001429992	699.3045155	0	0																																		
DDCT Values	6		H2O control	THSB1	Target	29.896479		-2.0820522	7.7518277	3.6761236	0	1	0.001429992	699.3045	FALSE	0																								
7	H2O control	THSB1	Target	30.970982	28.69675	7.423281																																		
Rn values	-0.25230545	-0.23713453	-0.22842188	-0.22394854	-0.22517566	-0.22438934	-0.22425301	-0.22590034	-0.22278951	-0.22319031	-0.2236117	-0.22302893	-0.2226071	-0.22367662	-0.22275846	-0.22261153	-0.22387393	-0.22235838	-0.2230096	-0.22141562	-0.22319582	-0.22210847	-0.22330394	-0.22274823	-0.22201787	-0.22158718	-0.21983992	-0.2168734	-0.21230784	-0.2005039	-0.18169269	-0.14044638	-0.067600176	0.06243516	0.27607107	0.57002723	0.8866704	1.1246473	1.2571379	1.3116736
Delta Rn values	-0.02631602	-0.011349427	-0.002841101	0.00142792	-3.53E-06	5.78E-04	5.10E-04	-0.001341171	0.001565332	9.60E-04	3.34E-04	7.13E-04	9.30E-04	-3.43E-04	3.70E-04	3.13E-04	-0.00115367	1.58E-04	-6.98E-04	6.92E-04	-0.001292855	-4.10E-04	-0.001809624	-0.001458238	-9.32E-04	-7.06E-04	8.37E-04	0.003599297	0.00796054	0.019560158	0.038167045	0.07920903	0.15185091	0.28168193	0.49511352	0.7888653	1.1053042	1.3430767	1.475363	1.5296944
Study Values	28.69674873	THSB1	H2O control																																					
Study Stat Values	5	-2.082052231	 	7.751827683	3.676123543																																			
Study RQ Values	H2O control	1	0.001429992	699.3045155	0	0																																		
DDCT Values	7		H2O control	THSB1	Target	30.970982		-2.0820522	7.7518277	3.6761236	0	1	0.001429992	699.3045	FALSE	0																								
8	H2O control	THSB1	Target	29.836586	28.69675	7.423281																																		
Rn values	-0.092297055	-0.0755077	-0.06512635	-0.060266305	-0.058687262	-0.057416137	-0.056107394	-0.05741466	-0.054918595	-0.056330178	-0.055612694	-0.056084096	-0.05625485	-0.055064578	-0.055761874	-0.056522794	-0.055098876	-0.055944465	-0.05637855	-0.055704262	-0.055164397	-0.055789437	-0.055018358	-0.055961806	-0.05222506	-0.0554196	-0.051035456	-0.04424756	-0.031909034	-0.009202516	0.0347694	0.11486408	0.2535702	0.47141573	0.74791104	1.0126691	1.1885223	1.2791692	1.3134061	1.3219466
Delta Rn values	-0.032637846	-0.016094696	-0.005959554	-0.001345713	-1.29E-05	0.001012042	0.002074578	5.21E-04	0.002770965	0.001113175	0.001584453	8.67E-04	4.50E-04	0.00139395	4.50E-04	-5.57E-04	6.21E-04	-4.71E-04	-0.001151055	-7.23E-04	-4.29E-04	-0.00130056	-7.76E-04	-0.001965342	0.001525197	-0.00191555	0.002222389	0.008764079	0.0208564	0.04331671	0.08704242	0.16689089	0.3053508	0.5229501	0.7991992	1.063711	1.2393181	1.3297188	1.3637094	1.3720038
Study Values	28.69674873	THSB1	H2O control																																					
Study Stat Values	5	-2.082052231	 	7.751827683	3.676123543																																			
Study RQ Values	H2O control	1	0.001429992	699.3045155	0	0																																		
DDCT Values	8		H2O control	THSB1	Target	29.836586		-2.0820522	7.7518277	3.6761236	0	1	0.001429992	699.3045	FALSE	0																								
9	H2O control	ANGP2	Target	40	7.786043	9.384066																																		
Rn values	-0.2969	-0.2854653	-0.27737394	-0.27143466	-0.2692568	-0.26710427	-0.26790324	-0.27021655	-0.2732521	-0.27359372	-0.27487707	-0.27560776	-0.2753536	-0.27680945	-0.27560323	-0.27681723	-0.276679	-0.27662	-0.2756496	-0.2749102	-0.2769639	-0.2755512	-0.27736336	-0.2765697	-0.27584788	-0.27622458	-0.27690992	-0.27633816	-0.27744937	-0.27682638	-0.27573884	-0.27659717	-0.2754814	-0.27466062	-0.27728164	-0.2770384	-0.275071	-0.27422974	-0.27560067	-0.2750649
Delta Rn values	-0.024435434	-0.012871517	-0.004650944	0.001417543	0.00372462	0.006006365	0.005336607	0.003152504	2.46E-04	3.38E-05	-0.001120376	-0.001721856	-0.00133849	-0.00266512	-0.001329689	-0.002414474	-0.002147038	-0.001958817	-8.59E-04	9.40E-06	-0.001915068	-3.73E-04	-0.002056113	-0.001133235	-2.82E-04	-5.30E-04	-0.001085821	-3.85E-04	-0.001366848	-6.15E-04	6.02E-04	-1.27E-04	0.001117969	0.002067968	-4.24E-04	-5.14E-05	0.002045227	0.0030157	0.001773976	0.002438974
DDCT Values	9		H2O control	ANGP2	Target	40									FALSE																									
10	H2O control	ANGP2	Target	40	7.786043	9.384066																																		
Rn values	-0.29946586	-0.2929411	-0.28948027	-0.2861624	-0.28527495	-0.2836911	-0.2835368	-0.28318527	-0.2845226	-0.28590554	-0.28740108	-0.28901654	-0.28910756	-0.29275617	-0.29309642	-0.2940133	-0.29101992	-0.29438725	-0.29351613	-0.29307464	-0.2925039	-0.29306734	-0.2940962	-0.29595885	-0.29538092	-0.2963175	-0.29544875	-0.2950418	-0.2945966	-0.2950494	-0.29575524	-0.2954634	-0.29345143	-0.29496303	-0.29332185	-0.29428783	-0.29432902	-0.2954485	-0.2969315	-0.2950419
Delta Rn values	-0.013935681	-0.007092066	-0.003312398	3.24E-04	0.001530606	0.003433294	0.003906454	0.004576815	0.003558339	0.002494236	0.001317539	2.09E-05	2.49E-04	-0.00308102	-0.00310243	-0.003700455	-3.88E-04	-0.003436727	-0.002246762	-0.001486427	-5.97E-04	-8.41E-04	-0.00155146	-0.003095262	-0.002198492	-0.002816216	-0.001628635	-9.03E-04	-1.39E-04	-2.73E-04	-6.60E-04	-4.91E-05	0.002281748	0.001088988	0.003049015	0.002401876	0.002679533	0.001878882	7.15E-04	0.002923192
DDCT Values	10		H2O control	ANGP2	Target	40									FALSE																									
11	H2O control	ANGP2	Target	40	7.786043	9.384066																																		
Rn values	-0.22348508	-0.219674	-0.22056395	-0.22281215	-0.22212933	-0.22385363	-0.22499903	-0.22387682	-0.22377318	-0.22341958	-0.22222628	-0.22260977	-0.22172871	-0.22228134	-0.22065645	-0.21872517	-0.21724617	-0.2156274	-0.21409047	-0.21288653	-0.21381998	-0.21148038	-0.2129796	-0.21196246	-0.21215467	-0.21167013	-0.2129784	-0.21092683	-0.21088088	-0.20948374	-0.20824094	-0.20866695	-0.20738219	-0.20518202	-0.20442034	-0.20471372	-0.2034198	-0.20164263	-0.20212446	-0.20103937
Delta Rn values	0.003890253	0.007059098	0.005526925	0.002636495	0.002677079	3.11E-04	-0.001477079	-9.97E-04	-0.001535698	-0.001824325	-0.001273257	-0.002298985	-0.002060155	-0.003255011	-0.002272361	-9.83E-04	-1.47E-04	8.30E-04	0.001724701	0.002286409	7.11E-04	0.002408094	2.67E-04	6.42E-04	-1.93E-04	-3.51E-04	-0.002301077	-8.92E-04	-0.001488023	-7.33E-04	-1.33E-04	-0.001200793	-5.58E-04	1.00E-03	0.00111912	1.84E-04	8.35E-04	0.001970136	8.46E-04	0.001288932
DDCT Values	11		H2O control	ANGP2	Target	40									FALSE																									
12	H2O control	HPRT	Target	40	30.778801	2.232874																																		
Rn values	4.3850803	4.4494443	4.335363	4.287077	4.341418	4.383629	4.4349136	4.3475223	4.288948	4.428978	4.4901953	4.3478656	4.392371	4.3571534	4.4539504	4.305219	4.365745	4.4475718	4.280678	4.446214	4.3905644	4.326615	4.33688	4.3945513	4.418196	4.3024216	4.3094926	4.3555655	4.320524	4.319309	4.3181977	4.3865757	4.429752	4.3879642	4.295143	4.3780026	4.300508	4.5391498	4.504149	4.4737625
Delta Rn values	0.027616244	0.09127452	-0.02351254	-0.072504185	-0.018869022	0.022636354	0.07321546	-0.014881592	-0.07416147	0.065162756	0.12567438	-0.017360989	0.026438927	-0.009484514	0.08660679	-0.06283011	-0.003009902	0.078111105	-0.089488536	0.07534219	0.018986754	-0.045668513	-0.03610884	0.02085655	0.043795794	-0.07268452	-0.066319175	-0.020951899	-0.05669891	-0.05861957	-0.06043676	0.007235533	0.049706027	0.007212724	-0.086314075	-0.004160241	-0.08236054	0.15557551	0.11986904	0.08877691
DDCT Values	12		H2O control	HPRT	Target	40									FALSE																									
13	H2O control	HPRT	Target	40	30.778801	2.232874																																		
Rn values	4.175959	4.2715554	4.252974	4.2320967	4.2861075	4.225178	4.2293496	4.263468	4.270439	4.231193	4.267497	4.325789	4.300635	4.259903	4.2519393	4.2796736	4.2672687	4.281969	4.2783065	4.301798	4.277164	4.2742977	4.2796755	4.2696815	4.283668	4.2881894	4.253944	4.2767663	4.2613297	4.2695975	4.281583	4.2527866	4.269574	4.2705603	4.27875	4.294362	4.2248926	4.331479	4.2272673	4.315475
Delta Rn values	-0.08341217	0.015121937	-5.22E-04	-0.018461227	0.038487434	-0.019504547	-0.012394905	0.024661064	0.034570217	-0.001738071	0.03750372	0.098733425	0.076517105	0.038722992	0.03369713	0.0643692	0.054902077	0.07254028	0.07181549	0.09824467	0.07654858	0.0766201	0.084935665	0.07787943	0.09480381	0.102262974	0.07095528	0.09671545	0.084216595	0.09542227	0.11034536	0.08448696	0.104212284	0.10813618	0.11926365	0.13781357	0.07128191	0.18080616	0.07953215	0.17067766
DDCT Values	13		H2O control	HPRT	Target	40									FALSE																									
14	H2O control	HPRT	Target	40	30.778801	2.232874																																		
Rn values	3.6482973	3.6564267	3.6754565	3.6828697	3.6667824	3.65195	3.7533002	3.6829107	3.660217	3.6573834	3.706451	3.7210069	3.7392786	3.631299	3.690535	3.731419	3.7194345	3.6572752	3.6979108	3.6956332	3.664984	3.6088293	3.672635	3.6654882	3.7018478	3.6620796	3.7005155	3.6671298	3.6801784	3.7125669	3.7359662	3.6979613	3.717574	3.6945572	3.7486765	3.6742585	3.6982648	3.7184975	3.6636934	3.6933615
Delta Rn values	-0.029462006	-0.021964826	-0.003567146	0.003213826	-0.013505644	-0.028970318	0.07174782	7.26E-04	-0.022599684	-0.026065465	0.022369856	0.03629361	0.053933118	-0.054678593	0.003925278	0.04417712	0.031560358	-0.03123112	0.008772288	0.005862499	-0.025418863	-0.082205765	-0.019032126	-0.026811138	0.008916235	-0.03148416	0.006319598	-0.027698332	-0.015281861	0.01647441	0.03924159	6.05E-04	0.019584911	-0.004063958	0.049423214	-0.02562703	-0.002252841	0.01734766	-0.038088605	-0.009052687
DDCT Values	14		H2O control	HPRT	Target	40									FALSE																									
15	H2O control	AXIN	Target	40	35.90296																																			
Rn values	6.7951984	6.678198	6.682956	6.8846693	6.8420353	6.7375727	6.521248	6.6628566	6.6646023	6.7895365	6.406678	6.72537	6.7475424	6.653174	6.5541553	6.6932287	6.576964	6.519514	6.5611663	6.724705	6.6674805	6.5239487	6.7437115	6.922089	6.6172934	6.796316	6.9049087	6.7185755	6.680028	6.745777	6.867204	6.835503	6.6568403	6.6265473	6.966452	6.7516274	6.640066	7.076013	7.058686	6.5320716
Delta Rn values	0.05081544	-0.078306675	-0.08566985	0.1039217	0.049166154	-0.067418	-0.29586434	-0.16637716	-0.176753	-0.06394033	-0.45892015	-0.15234995	-0.14229903	-0.24878903	-0.35992914	-0.2329773	-0.36136365	-0.430935	-0.40140432	-0.24998693	-0.31933323	-0.47498655	-0.26734528	-0.101089194	-0.41800648	-0.25110522	-0.15463424	-0.35308895	-0.403758	-0.35013038	-0.24082485	-0.28464746	-0.47543177	-0.5178463	-0.19006304	-0.41700926	-0.5406921	-0.116866685	-0.14631553	-0.68505126
DDCT Values	15		H2O control	AXIN	Target	40									FALSE																									
16	H2O control	AXIN	Target	40	35.90296																																			
Rn values	3.6690617	3.6329749	3.656039	3.6106918	3.653445	3.6222281	3.6370108	3.6174223	3.6001725	3.6562774	3.626543	3.6049092	3.6442747	3.651222	3.6496706	3.6272695	3.6404243	3.5911982	3.6047306	3.658855	3.611859	3.6527643	3.6705534	3.684306	3.6894653	3.6614633	3.6219282	3.589453	3.6549723	3.6451766	3.66872	3.6310925	3.6510854	3.6941707	3.61736	3.6447039	3.6435628	3.6418219	3.6838114	3.6700394
Delta Rn values	0.04391646	0.007045498	0.02932547	-0.01680591	0.025163146	-0.006837878	0.007160625	-0.013212011	-0.031245997	0.024074735	-0.006443802	-0.02886183	0.009719536	0.01588265	0.013547096	-0.009638164	0.002732417	-0.047277793	-0.03452956	0.018810632	-0.02896941	0.011151662	0.028156623	0.041124918	0.045500133	0.016713943	-0.023605267	-0.056864664	0.007870505	-0.002709326	0.020049866	-0.018361757	8.47E-04	0.043148078	-0.034446683	-0.007887098	-0.009812334	-0.012337431	0.02886797	0.014311793
DDCT Values	16		H2O control	AXIN	Target	40									FALSE																									
17	H2O control	AXIN	Target	40	35.90296																																			
Rn values	5.0242314	5.0334344	5.0663376	5.020812	5.074846	5.077718	4.9818525	5.060024	5.0208664	5.1061263	4.9907126	5.044536	5.0058584	4.9218974	4.9736085	5.0170417	4.9769807	4.9619384	5.1265545	5.0627184	5.056016	5.008529	5.0036798	4.986579	5.0081124	5.0898786	5.0172267	4.952691	5.0382934	5.058739	5.087137	5.016932	5.0100775	4.958224	5.019728	5.037514	5.054386	5.0698776	5.0707693	4.973922
Delta Rn values	-0.039817385	-0.027304718	0.008908185	-0.033307657	0.02403581	0.03021751	-0.06233803	0.019142931	-0.01670475	0.07186487	-0.040239085	0.016894098	-0.018473886	-0.099125184	-0.044104394	0.002638505	-0.03411278	-0.04584538	0.12208044	0.061554052	0.058161337	0.013984264	0.01244454	-0.001346562	0.023496637	0.108572476	0.03923032	-0.021995587	0.066916406	0.09067194	0.12237968	0.055484183	0.051939357	0.00339541	0.068209484	0.08930522	0.109486856	0.12828805	0.13248944	0.038951624
DDCT Values	17		H2O control	AXIN	Target	40									FALSE																									
18	H2O control	THSB1	Target	36.436394	28.69675	7.423281																																		
Rn values	3.8698559	3.9429994	3.921708	3.9543004	3.960646	3.9826956	3.9678774	3.9679213	3.9748182	4.015455	3.8819737	3.913373	4.0185466	3.9289238	3.9150236	3.8986406	3.9770303	3.9465988	3.9202523	3.8755262	3.959908	4.0043907	3.9717526	4.000287	3.9633663	3.9865155	3.9913876	3.986846	4.0056844	4.043129	3.9732018	3.931473	3.9713714	4.020363	4.0282764	4.030443	3.922121	4.00893	4.030277	4.0691967
Delta Rn values	-0.08181597	-0.008748373	-0.030115513	0.002400898	0.008670524	0.030644305	0.01575023	0.015718214	0.0225393	0.06309996	-0.07045695	-0.03913359	0.06596412	-0.023734506	-0.03771067	-0.054169487	0.024144273	-0.006363121	-0.03278545	-0.07758747	0.006718466	0.051125288	0.01841133	0.04686986	0.009873189	0.032946557	0.037742756	0.033125237	0.051887758	0.089256465	0.019253364	-0.022551257	0.017271254	0.066186816	0.07402451	0.07611538	-0.032282647	0.054450627	0.07572131	0.11456535
Study Values	28.69674873	THSB1	H2O control																																					
Study Stat Values	5	-2.082052231	 	7.751827683	3.676123543																																			
Study RQ Values	H2O control	1	0.001429992	699.3045155	0	0																																		
DDCT Values	18		H2O control	THSB1	Target	36.436394		-2.0820522	7.7518277	3.6761236	0	1	0.001429992	699.3045	FALSE	0																								
19	H2O control	THSB1	Target	40	28.69675	7.423281																																		
Rn values	3.5264711	3.5323827	3.483666	3.4872603	3.5558872	3.5247943	3.5529213	3.5337465	3.5014837	3.5185275	3.5363998	3.5412133	3.558902	3.5442078	3.5398905	3.5185642	3.5480895	3.4946287	3.5474925	3.5552566	3.5788674	3.5515256	3.5479646	3.5653067	3.5636609	3.5771563	3.5319314	3.539082	3.5552478	3.6273394	3.6098614	3.5701585	3.5753162	3.5998526	3.5575333	3.5648723	3.569698	3.5544941	3.5702827	3.5609684
Delta Rn values	0.056948543	0.050966058	-0.009644804	-0.017944481	0.038788322	-0.004198635	0.012034244	-0.019034646	-0.063191526	-0.058041774	-0.052063514	-0.059144158	-0.053349484	-0.07993777	-0.09614913	-0.12936951	-0.11173831	-0.17709322	-0.13612346	-0.14025344	-0.12853669	-0.1677726	-0.1832277	-0.17777969	-0.19131957	-0.18971819	-0.24683717	-0.2515806	-0.24730894	-0.18711144	-0.2164835	-0.26808047	-0.27481684	-0.26217455	-0.31638792	-0.320943	-0.32801124	-0.35510927	-0.3512148	-0.37242317
DDCT Values	19		H2O control	THSB1	Target	40									FALSE																									
20	H2O control	THSB1	Target	16.343304	28.69675	7.423281																																		
Rn values	4.2561975	4.3484635	4.3219266	4.2746906	4.3417177	4.2732525	4.3027396	4.359024	4.34462	4.3031325	4.319951	4.3464665	4.2979813	4.30945	4.26404	4.369786	4.4068217	4.329673	4.2618003	4.4640055	4.364253	4.35452	4.3615	4.374863	4.349813	4.486925	4.377512	4.3260503	4.309413	4.326567	4.3562202	4.3300247	4.4219866	4.3787503	4.384673	4.349436	4.4403877	4.3109345	4.373824	4.3513637
Delta Rn values	-0.03454966	0.054196287	0.024139212	-0.026616886	0.036890075	-0.035095293	-0.009128293	0.043636	0.025712049	-0.019295778	-0.005997388	0.016997963	-0.03500745	-0.027058695	-0.075988986	0.026236676	0.059752483	-0.020916563	-0.09230922	0.10637583	0.003103269	-0.010150065	-0.006690255	0.003152973	-0.025417322	0.10817468	-0.004758596	-0.059740424	-0.07989788	-0.0662638	-0.04013086	-0.06984652	0.018595207	-0.028161181	-0.02575852	-0.06451596	0.022915822	-0.110057496	-0.05068805	-0.07666864
Study Values	28.69674873	THSB1	H2O control																																					
Study Stat Values	5	-2.082052231	 	7.751827683	3.676123543																																			
Study RQ Values	H2O control	1	0.001429992	699.3045155	0	0																																		
DDCT Values	20		H2O control	THSB1	Target	16.343304		-2.0820522	7.7518277	3.6761236	0	1	0.001429992	699.3045	FALSE	0																								
21	H2O control	ANGP2	Target	1.1505071	7.786043	9.384066																																		
Rn values	3.9119008	3.9560366	3.9186177	3.942767	3.858182	3.8567502	3.9135985	3.9844003	3.841462	3.9672468	3.8160233	3.8344676	3.956544	3.8360288	3.8504155	3.9070444	3.8636103	3.818423	3.867417	3.8875155	3.9237304	3.8449695	3.9340632	3.8633466	3.8956578	3.8865664	3.911861	3.9122074	3.8317707	3.979149	3.8636012	3.8271618	3.8799663	3.9045277	3.8626082	3.9857621	3.867981	3.824622	3.9175897	3.8892317
