Primer,Condition,Location,Ct,Avg Ct,HPRT,Avg HPRT,dCt,ddCt,Fold Change,Ct Sd,SEM ddCT,Fold SEM
ANGPT2,Drug,Static,26.7186,26.7980,36.4046,37.4342,-10.6362,-2.3702,5.1700,2.4793,1.4314,5.5210
ANGPT2,Drug,Static,29.3160,26.7980,38.4637,37.4342,-10.6362,-2.3702,5.1700,2.4793,1.4314,5.5210
AXIN2,Drug,Centre,26.1513,26.9327,34.3277,35.5642,-8.6316,-0.8183,1.7633,0.9339,0.5392,0.2492
AXIN2,Drug,Centre,26.6798,26.9327,35.2797,35.5642,-8.6316,-0.8183,1.7633,0.9339,0.5392,0.2492
AXIN2,Drug,Centre,27.9670,26.9327,37.0853,35.5642,-8.6316,-0.8183,1.7633,0.9339,0.5392,0.2492
AXIN2,Drug,Periphery,26.5360,28.6675,NA,34.3292,-5.6617,2.1516,0.2251,2.0762,1.1987,0.1645
AXIN2,Drug,Periphery,28.7830,28.6675,34.4952,34.3292,-5.6617,2.1516,0.2251,2.0762,1.1987,0.1645
AXIN2,Drug,Periphery,30.6835,28.6675,34.1631,34.3292,-5.6617,2.1516,0.2251,2.0762,1.1987,0.1645
AXIN2,Drug,Static,25.0724,26.6969,NA,37.4342,-10.7373,-2.9241,7.5898,1.5044,0.8686,2.8352
AXIN2,Drug,Static,26.9760,26.6969,36.4046,37.4342,-10.7373,-2.9241,7.5898,1.5044,0.8686,2.8352
AXIN2,Drug,Static,28.0422,26.6969,38.4637,37.4342,-10.7373,-2.9241,7.5898,1.5044,0.8686,2.8352
THBS1,Drug,Centre,13.9023,14.6635,34.3277,35.5642,-20.9007,-1.0302,2.0423,0.8886,0.5130,0.2610
THBS1,Drug,Centre,14.4483,14.6635,35.2797,35.5642,-20.9007,-1.0302,2.0423,0.8886,0.5130,0.2610
THBS1,Drug,Centre,15.6399,14.6635,37.0853,35.5642,-20.9007,-1.0302,2.0423,0.8886,0.5130,0.2610
THBS1,Drug,Periphery,14.5008,15.6735,NA,34.3292,-18.6556,1.2149,0.4308,1.5176,0.8762,0.1639
THBS1,Drug,Periphery,15.1323,15.6735,34.4952,34.3292,-18.6556,1.2149,0.4308,1.5176,0.8762,0.1639
THBS1,Drug,Periphery,17.3876,15.6735,34.1631,34.3292,-18.6556,1.2149,0.4308,1.5176,0.8762,0.1639
THBS1,Drug,Static,12.9156,13.5284,NA,37.4342,-23.9057,-4.0352,16.3956,0.7590,0.4382,1.5242
THBS1,Drug,Static,13.2923,13.5284,36.4046,37.4342,-23.9057,-4.0352,16.3956,0.7590,0.4382,1.5242
THBS1,Drug,Static,14.3774,13.5284,38.4637,37.4342,-23.9057,-4.0352,16.3956,0.7590,0.4382,1.5242
