Timestamp	Sample	Block	Cover
1645729150147	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.5,26.6,26.6	42.3
1645729151145	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.5,26.6,26.6	42.7
1645729152146	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.5,26.6,26.6	43.2
1645729153145	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.5,26.6,26.6	43.6
1645729154145	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.5,26.6,26.6	44.1
1645729155145	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.5,26.6,26.6	44.6
1645729156147	26.6,26.5,26.7,26.5,26.6,26.6	26.6,26.5,26.7,26.5,26.6,26.6	45.0
1645729157145	26.6,26.5,26.7,26.5,26.6,26.6	26.6,26.5,26.7,26.5,26.6,26.6	45.5
1645729158146	26.6,26.5,26.7,26.5,26.6,26.6	26.6,26.5,26.7,26.5,26.6,26.6	45.9
1645729159145	26.6,26.5,26.7,26.5,26.6,26.6	26.6,26.5,26.7,26.5,26.6,26.6	46.4
1645729160146	26.6,26.5,26.7,26.5,26.6,26.6	26.6,26.5,26.7,26.5,26.6,26.6	46.8
1645729161145	26.6,26.5,26.7,26.5,26.6,26.6	26.6,26.5,26.7,26.5,26.6,26.6	47.2
1645729162145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	47.7
1645729163145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	48.2
1645729164145	26.6,26.5,26.7,26.5,26.6,26.6	26.6,26.5,26.7,26.5,26.6,26.6	48.5
1645729165144	26.6,26.5,26.7,26.5,26.6,26.6	26.6,26.5,26.7,26.5,26.6,26.6	48.9
1645729166146	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	49.3
1645729167145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	49.8
1645729168145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	50.3
1645729169146	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	50.7
1645729170145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	51.1
1645729171145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	51.5
1645729172145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	51.9
1645729173145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	52.3
1645729174146	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	52.7
1645729175145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	53.1
1645729176145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	53.5
1645729177145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	53.9
1645729178145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	54.3
1645729179145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	54.8
1645729180144	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	55.2
1645729181145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	55.5
1645729182145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	55.9
1645729183145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	56.2
1645729184145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	56.6
1645729185144	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	57.0
1645729186145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	57.4
1645729187145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	57.7
1645729188145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	58.1
1645729189145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	58.5
1645729190145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	58.9
1645729191144	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	59.2
1645729192145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	59.5
1645729193145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	59.9
1645729194145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	60.2
1645729195145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	60.6
1645729196145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	60.9
1645729197145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	61.3
1645729198145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	61.6
1645729199145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	61.9
1645729200145	26.5,26.5,26.7,26.5,26.6,26.6	26.5,26.5,26.7,26.5,26.6,26.6	62.3
1645729201145	26.5,26.5,26.7,26.5,26.7,26.6	26.5,26.5,26.7,26.5,26.7,26.6	62.6
1645729202145	26.5,26.5,26.7,26.5,26.7,26.6	26.5,26.5,26.7,26.5,26.7,26.6	63.0
1645729203145	26.5,26.5,26.7,26.5,26.7,26.6	26.5,26.6,26.7,26.5,26.7,26.6	63.3
1645729204146	26.5,26.5,26.7,26.5,26.7,26.6	26.6,26.5,26.7,26.5,26.7,26.6	63.6
1645729205145	26.5,26.6,26.7,26.5,26.7,26.6	26.5,26.6,26.7,26.5,26.7,26.6	64.0
1645729206145	26.5,26.5,26.7,26.5,26.7,26.6	26.5,26.5,26.7,26.5,26.7,26.6	64.3
1645729207144	26.5,26.6,26.7,26.6,26.7,26.7	26.5,26.6,26.7,26.6,26.7,26.6	64.6
1645729208145	26.5,26.6,26.7,26.5,26.7,26.7	26.5,26.6,26.7,26.5,26.7,26.7	65.0
1645729209145	26.5,26.6,26.7,26.6,26.7,26.6	26.5,26.6,26.7,26.6,26.7,26.6	65.3
1645729210145	26.6,26.6,26.7,26.6,26.7,26.6	26.6,26.6,26.7,26.6,26.7,26.6	65.6
1645729211145	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	65.9
1645729212144	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	66.3
1645729213145	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	66.6
1645729214145	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	66.9
1645729215145	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	67.2
1645729216145	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	67.5
1645729217146	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	67.8
1645729218145	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	68.1
1645729219145	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	68.4
1645729220145	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	68.7
1645729221144	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	69.0
1645729222145	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	69.3
1645729223146	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	69.6
1645729224145	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	69.8
1645729225145	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	70.2
1645729226145	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	70.4
1645729227144	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	70.7
1645729228145	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	71.0
1645729229144	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	71.3
1645729230146	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	71.6
1645729231146	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	71.9
1645729232145	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	72.1
1645729233145	26.6,26.6,26.7,26.6,26.7,26.7	26.6,26.6,26.7,26.6,26.7,26.7	72.4
1645729234145	26.6,26.7,26.7,26.6,26.7,26.7	26.6,26.6,26.8,26.6,26.7,26.7	72.7
1645729235145	26.6,26.6,26.8,26.6,26.7,26.7	26.6,26.7,26.8,26.6,26.7,26.7	72.9
1645729236145	26.6,26.7,26.8,26.6,26.7,26.7	26.6,26.7,26.8,26.6,26.7,26.7	73.2
1645729237145	26.6,26.7,26.8,26.6,26.7,26.7	26.6,26.7,26.8,26.6,26.7,26.7	73.5
1645729238145	26.6,26.7,26.8,26.6,26.7,26.7	26.6,26.7,26.8,26.6,26.7,26.7	73.8
1645729239145	26.6,26.7,26.8,26.7,26.7,26.7	26.6,26.7,26.8,26.7,26.7,26.7	74.0
1645729240145	26.6,26.7,26.8,26.7,26.7,26.7	26.6,26.7,26.8,26.7,26.7,26.7	74.3
1645729241146	26.6,26.7,26.8,26.7,26.7,26.7	26.6,26.7,26.8,26.7,26.7,26.7	74.5
1645729242145	26.6,26.7,26.8,26.7,26.8,26.8	26.6,26.7,26.8,26.7,26.8,26.8	74.8
1645729243145	26.6,26.7,26.8,26.7,26.8,26.7	26.6,26.7,26.8,26.7,26.8,26.7	75.1
1645729244146	26.6,26.7,26.8,26.7,26.8,26.8	26.6,26.7,26.8,26.7,26.8,26.8	75.4
1645729245145	26.7,26.7,26.8,26.7,26.8,26.8	26.7,26.7,26.8,26.7,26.8,26.8	75.6
1645729246145	26.7,26.7,26.8,26.7,26.8,26.7	26.7,26.7,26.8,26.7,26.8,26.7	75.9
1645729247145	26.7,26.7,26.8,26.7,26.8,26.8	26.7,26.7,26.8,26.7,26.8,26.8	76.1
1645729248145	26.7,26.7,26.8,26.7,26.8,26.8	26.7,26.7,26.8,26.7,26.8,26.8	76.3
1645729249145	26.7,26.7,26.8,26.7,26.8,26.8	26.7,26.7,26.8,26.7,26.8,26.8	76.6
1645729250145	26.7,26.7,26.8,26.7,26.8,26.8	26.7,26.7,26.8,26.7,26.8,26.8	76.8
1645729251145	26.7,26.7,26.8,26.7,26.8,26.8	26.7,26.7,26.8,26.7,26.8,26.8	77.1
1645729252146	26.7,26.7,26.8,26.7,26.8,26.8	26.7,26.7,26.8,26.7,26.8,26.8	77.3
1645729253145	26.7,26.7,26.8,26.7,26.8,26.8	26.7,26.7,26.8,26.7,26.8,26.8	77.6
1645729254145	26.7,26.7,26.8,26.7,26.8,26.8	26.7,26.7,26.8,26.7,26.8,26.8	77.8
1645729255145	26.7,26.7,26.8,26.7,26.8,26.8	26.7,26.7,26.8,26.7,26.8,26.8	78.0
1645729256145	26.7,26.7,26.8,26.7,26.8,26.8	26.7,26.7,26.8,26.7,26.8,26.8	78.3
1645729257146	26.7,26.7,26.8,26.7,26.8,26.8	26.7,26.7,26.8,26.7,26.8,26.8	78.5
1645729258145	26.7,26.7,26.9,26.7,26.8,26.8	26.7,26.7,26.9,26.7,26.8,26.8	78.7
1645729259145	26.7,26.7,26.9,26.7,26.8,26.8	26.7,26.7,26.9,26.7,26.8,26.8	79.0
1645729260145	26.7,26.7,26.9,26.7,26.8,26.8	26.7,26.7,26.9,26.7,26.8,26.8	79.2
1645729261145	26.7,26.7,26.9,26.7,26.8,26.8	26.7,26.7,26.9,26.7,26.8,26.8	79.4
1645729262145	26.7,26.7,26.9,26.7,26.8,26.8	26.7,26.7,26.9,26.7,26.8,26.8	79.6
1645729263145	26.7,26.7,26.9,26.7,26.8,26.8	26.7,26.7,26.9,26.7,26.8,26.8	79.8
1645729264145	26.7,26.7,26.9,26.8,26.8,26.8	26.7,26.7,26.9,26.7,26.8,26.8	80.1
1645729265146	26.7,26.7,26.9,26.8,26.8,26.8	26.7,26.7,26.9,26.8,26.8,26.8	80.3
1645729266145	26.7,26.7,26.9,26.7,26.8,26.9	26.7,26.7,26.9,26.7,26.8,26.9	80.6
1645729267145	26.7,26.8,26.9,26.8,26.8,26.9	26.7,26.8,26.9,26.8,26.8,26.9	80.8
1645729268145	26.7,26.8,26.9,26.8,26.8,26.9	26.7,26.8,26.9,26.8,26.8,26.9	81.0
1645729269145	26.7,26.8,26.9,26.8,26.8,26.9	26.7,26.8,26.9,26.8,26.8,26.9	81.3
1645729270145	26.7,26.8,26.9,26.8,26.8,26.9	26.7,26.8,26.9,26.8,26.8,26.9	81.4
1645729271144	26.7,26.8,26.9,26.8,26.9,26.9	26.7,26.8,26.9,26.8,26.9,26.9	81.7
1645729272145	26.7,26.8,26.9,26.8,26.9,26.9	26.7,26.8,26.9,26.8,26.9,26.9	81.9
1645729273145	26.8,26.8,26.9,26.8,26.9,26.9	26.7,26.8,26.9,26.8,26.9,26.9	82.1
1645729274145	26.7,26.8,26.9,26.8,26.9,26.9	26.7,26.8,26.9,26.8,26.9,26.9	82.2
1645729275145	26.7,26.8,26.9,26.8,26.9,26.9	26.7,26.8,26.9,26.8,26.9,26.9	82.5
1645729276145	26.8,26.8,26.9,26.8,26.9,26.9	26.8,26.8,26.9,26.8,26.9,26.9	82.7
1645729277145	26.8,26.8,26.9,26.8,26.9,26.9	26.8,26.8,26.9,26.8,26.9,26.9	82.9
1645729278145	26.8,26.8,26.9,26.8,26.9,26.9	26.8,26.8,26.9,26.8,26.9,26.9	83.1
1645729279145	26.8,26.8,26.9,26.8,26.9,26.9	26.8,26.8,26.9,26.8,26.9,26.9	83.4
1645729280144	26.8,26.8,26.9,26.8,26.9,26.9	26.8,26.8,26.9,26.8,26.9,26.9	83.6
1645729281145	26.8,26.8,26.9,26.8,26.9,26.9	26.8,26.8,26.9,26.8,26.9,26.9	83.7
1645729282145	26.8,26.8,27.0,26.8,26.9,26.9	26.8,26.8,27.0,26.8,26.9,26.9	84.0
1645729283145	26.8,26.8,27.0,26.8,26.9,26.9	26.8,26.8,27.0,26.8,26.9,26.9	84.1
1645729284145	26.8,26.8,26.9,26.8,27.0,26.9	26.8,26.8,26.9,26.8,27.0,26.9	84.4
1645729285145	26.8,26.8,27.0,26.8,26.9,26.9	26.8,26.8,27.0,26.8,26.9,26.9	84.6
1645729286145	26.8,26.8,27.0,26.8,26.9,26.9	26.8,26.8,27.0,26.8,26.9,26.9	84.7
1645729287145	26.8,26.8,27.0,26.8,27.0,26.9	26.8,26.8,27.0,26.8,27.0,26.9	84.9
1645729288145	26.8,26.8,27.0,26.8,27.0,26.9	26.8,26.8,27.0,26.8,27.0,26.9	85.1
1645729289145	26.8,26.8,27.0,26.9,27.0,27.0	26.8,26.9,27.0,26.9,27.0,27.0	85.3
1645729290145	26.8,26.9,27.0,26.8,27.0,27.0	26.8,26.9,27.0,26.8,27.0,27.0	85.5
1645729291145	26.9,26.9,27.0,26.8,27.0,27.0	26.9,26.9,27.0,26.8,27.0,27.0	85.7
1645729292145	26.9,26.9,27.0,26.8,27.0,27.0	26.9,26.9,27.0,26.9,27.0,27.0	85.9
1645729293144	26.9,26.9,27.0,26.9,27.0,27.0	26.9,26.9,27.0,26.9,27.0,27.0	86.1
1645729294145	26.9,26.9,27.0,26.9,27.0,27.0	26.9,26.9,27.0,26.9,27.0,27.0	86.2
1645729295145	26.9,26.9,27.0,26.9,27.0,27.0	26.9,26.9,27.0,26.9,27.0,27.0	86.5
1645729296145	26.9,26.9,27.0,26.9,27.0,27.0	26.9,26.9,27.0,26.9,27.0,27.0	86.6
1645729297145	26.9,26.9,27.0,26.9,27.0,27.0	26.9,26.9,27.0,26.9,27.0,27.0	86.8
1645729298145	26.9,26.9,27.0,26.9,27.0,27.0	26.9,26.9,27.0,26.9,27.0,27.0	87.0
1645729299145	26.9,26.9,27.0,26.9,27.0,27.0	26.9,26.9,27.0,26.9,27.0,27.0	87.2
1645729300145	26.9,26.9,27.0,26.9,27.0,27.0	26.9,26.9,27.0,26.9,27.0,27.0	87.3
1645729301145	26.9,26.9,27.0,26.9,27.0,27.0	26.9,26.9,27.0,26.9,27.0,27.0	87.5
1645729302145	26.9,26.9,27.0,27.0,27.0,27.0	26.9,26.9,27.0,27.0,27.0,27.0	87.7
1645729303145	26.9,26.9,27.0,26.9,27.0,27.0	26.9,26.9,27.0,26.9,27.0,27.0	87.9
1645729304145	26.9,26.9,27.0,27.0,27.0,27.0	26.9,26.9,27.0,26.9,27.0,27.0	88.1
1645729305145	26.9,27.0,27.1,26.9,27.0,27.0	26.9,26.9,27.1,26.9,27.0,27.0	88.3
1645729306144	26.9,27.0,27.0,27.0,27.0,27.0	26.9,27.0,27.0,27.0,27.0,27.0	88.4
1645729307145	26.9,27.0,27.1,27.0,27.0,27.0	26.9,27.0,27.1,27.0,27.0,27.0	88.6
1645729308145	26.9,27.0,27.1,27.0,27.0,27.0	26.9,27.0,27.1,27.0,27.0,27.0	88.8
1645729309145	26.9,27.0,27.1,27.0,27.0,27.0	26.9,27.0,27.1,27.0,27.0,27.0	89.0
1645729310145	26.9,27.0,27.1,27.0,27.1,27.0	26.9,27.0,27.1,27.0,27.1,27.0	89.1
1645729311144	26.9,27.0,27.1,27.0,27.0,27.0	26.9,27.0,27.1,27.0,27.0,27.0	89.4
1645729312144	26.9,27.0,27.1,27.0,27.1,27.0	26.9,27.0,27.1,27.0,27.1,27.0	89.4
1645729313145	27.0,27.0,27.1,27.0,27.1,27.1	27.0,27.0,27.1,27.0,27.1,27.1	89.6
1645729314145	27.0,27.0,27.1,27.0,27.1,27.1	27.0,27.0,27.1,27.0,27.1,27.1	89.8
1645729315145	27.0,27.0,27.1,27.0,27.1,27.1	27.0,27.0,27.1,27.0,27.1,27.1	89.9
1645729316145	27.0,27.0,27.1,27.0,27.1,27.1	27.0,27.0,27.1,27.0,27.1,27.1	90.1
1645729317145	27.0,27.0,27.1,27.0,27.1,27.1	27.0,27.0,27.1,27.0,27.1,27.1	90.2
1645729318144	27.0,27.0,27.1,27.0,27.1,27.1	27.0,27.0,27.1,27.0,27.1,27.1	90.4
1645729319145	27.0,27.0,27.1,27.0,27.1,27.1	27.0,27.0,27.1,27.0,27.1,27.1	90.6
1645729320145	27.0,27.0,27.1,27.0,27.1,27.1	27.0,27.0,27.1,27.0,27.1,27.1	90.8
1645729321145	27.0,27.0,27.1,27.0,27.1,27.1	27.0,27.0,27.1,27.0,27.1,27.1	90.9
1645729322145	27.0,27.0,27.1,27.0,27.1,27.1	27.0,27.0,27.1,27.0,27.1,27.1	91.1
1645729323145	27.0,27.0,27.1,27.0,27.1,27.1	27.0,27.0,27.1,27.0,27.1,27.1	91.2
1645729324145	27.0,27.0,27.1,27.0,27.1,27.1	27.0,27.0,27.1,27.0,27.1,27.1	91.4
1645729325145	27.0,27.0,27.1,27.0,27.1,27.1	27.0,27.0,27.1,27.0,27.1,27.1	91.5
1645729326145	27.0,27.0,27.1,27.0,27.1,27.1	27.0,27.0,27.1,27.0,27.1,27.1	91.6
1645729327145	27.0,27.1,27.1,27.1,27.1,27.1	27.0,27.1,27.1,27.1,27.1,27.1	91.8
1645729328145	27.0,27.1,27.2,27.0,27.1,27.2	27.0,27.1,27.2,27.0,27.1,27.2	92.0
1645729329145	27.0,27.1,27.1,27.1,27.1,27.2	27.0,27.1,27.2,27.1,27.1,27.2	92.1
1645729330145	27.0,27.1,27.2,27.1,27.1,27.2	27.0,27.1,27.2,27.1,27.1,27.2	92.3
1645729331145	27.0,27.1,27.2,27.1,27.1,27.2	27.0,27.1,27.2,27.1,27.1,27.2	92.4
1645729332146	27.0,27.1,27.2,27.1,27.1,27.2	27.0,27.1,27.2,27.1,27.1,27.2	92.6
1645729333145	27.0,27.1,27.2,27.1,27.1,27.2	27.0,27.1,27.2,27.1,27.1,27.2	92.7
1645729334145	27.0,27.1,27.2,27.1,27.1,27.2	27.0,27.1,27.2,27.1,27.1,27.2	92.9
1645729335145	27.1,27.1,27.2,27.1,27.2,27.2	27.1,27.1,27.2,27.1,27.2,27.2	93.0
1645729336145	27.1,27.1,27.2,27.1,27.2,27.2	27.1,27.1,27.2,27.1,27.2,27.2	93.1
1645729337145	27.1,27.1,27.2,27.1,27.2,27.2	27.1,27.1,27.2,27.1,27.2,27.2	93.3
1645729338145	27.1,27.1,27.2,27.1,27.2,27.2	27.1,27.1,27.2,27.1,27.2,27.2	93.4
1645729339145	27.1,27.1,27.2,27.1,27.2,27.2	27.1,27.1,27.2,27.1,27.2,27.2	93.6
1645729340146	27.1,27.1,27.2,27.1,27.2,27.2	27.1,27.1,27.2,27.1,27.2,27.2	93.7
1645729341145	27.1,27.1,27.2,27.1,27.2,27.2	27.1,27.1,27.2,27.1,27.2,27.2	93.8
1645729342145	27.1,27.1,27.2,27.1,27.2,27.2	27.1,27.1,27.2,27.1,27.2,27.2	94.0
1645729343145	27.1,27.1,27.3,27.1,27.2,27.2	27.1,27.1,27.3,27.1,27.2,27.2	94.2
1645729344145	27.1,27.1,27.3,27.1,27.2,27.2	27.1,27.1,27.3,27.1,27.2,27.2	94.3
1645729345145	27.1,27.1,27.3,27.1,27.2,27.2	27.1,27.1,27.3,27.1,27.2,27.2	94.4
1645729346145	27.1,27.1,27.3,27.1,27.2,27.2	27.1,27.1,27.3,27.1,27.2,27.2	94.6
1645729347145	27.1,27.1,27.3,27.1,27.2,27.2	27.1,27.1,27.3,27.1,27.2,27.2	94.7
1645729348146	27.1,27.2,27.3,27.2,27.3,27.2	27.1,27.2,27.3,27.2,27.3,27.2	94.9
1645729349144	27.1,27.2,27.3,27.2,27.3,27.2	27.1,27.2,27.3,27.2,27.3,27.2	95.0
1645729350145	27.1,27.2,27.3,27.2,27.3,27.2	27.1,27.2,27.3,27.2,27.3,27.2	95.1
1645729351145	27.2,27.2,27.3,27.2,27.3,27.3	27.2,27.2,27.3,27.2,27.3,27.3	95.2
1645729352144	27.2,27.2,27.3,27.2,27.3,27.3	27.2,27.2,27.3,27.2,27.3,27.3	95.4
1645729353145	27.2,27.2,27.3,27.2,27.3,27.3	27.2,27.2,27.3,27.2,27.3,27.3	95.5
1645729354145	27.2,27.2,27.3,27.2,27.3,27.3	27.2,27.2,27.3,27.2,27.3,27.3	95.6
1645729355145	27.2,27.2,27.3,27.2,27.3,27.3	27.2,27.2,27.3,27.2,27.3,27.3	95.7
1645729356146	27.2,27.2,27.3,27.2,27.3,27.3	27.2,27.2,27.3,27.2,27.3,27.3	95.9
1645729357145	27.2,27.2,27.3,27.2,27.3,27.3	27.2,27.2,27.3,27.2,27.3,27.3	96.1
1645729358144	27.2,27.2,27.3,27.2,27.3,27.3	27.2,27.2,27.3,27.2,27.3,27.3	96.2
1645729359145	27.2,27.2,27.3,27.2,27.3,27.3	27.2,27.2,27.3,27.2,27.3,27.3	96.3
1645729360144	27.2,27.2,27.3,27.2,27.3,27.3	27.2,27.2,27.3,27.2,27.3,27.3	96.4
1645729361145	27.2,27.2,27.3,27.2,27.3,27.3	27.2,27.2,27.3,27.2,27.3,27.3	96.6
1645729362145	27.2,27.2,27.3,27.3,27.3,27.3	27.2,27.2,27.3,27.3,27.3,27.3	96.7
1645729363145	27.2,27.2,27.3,27.3,27.3,27.3	27.2,27.2,27.3,27.3,27.3,27.3	96.8
1645729364145	27.2,27.2,27.3,27.3,27.3,27.3	27.2,27.2,27.3,27.3,27.3,27.3	96.9
1645729365145	27.2,27.3,27.4,27.3,27.3,27.3	27.2,27.3,27.4,27.3,27.3,27.3	97.0
1645729366145	27.2,27.2,27.4,27.3,27.3,27.3	27.2,27.3,27.4,27.3,27.3,27.3	97.2
1645729367145	27.2,27.3,27.4,27.3,27.3,27.3	27.2,27.3,27.4,27.3,27.3,27.3	97.3
1645729368145	27.2,27.3,27.4,27.3,27.3,27.3	27.2,27.3,27.4,27.3,27.3,27.3	97.5
1645729369145	27.2,27.3,27.4,27.3,27.3,27.4	27.2,27.3,27.4,27.3,27.3,27.4	97.5
1645729370145	27.2,27.3,27.4,27.3,27.3,27.4	27.2,27.3,27.4,27.3,27.3,27.4	97.6
1645729371145	27.2,27.3,27.4,27.3,27.3,27.4	27.2,27.3,27.4,27.3,27.3,27.4	97.8
1645729372144	27.3,27.3,27.4,27.3,27.4,27.4	27.3,27.3,27.4,27.3,27.4,27.4	97.8
